Subject,Group,count,Feel1,Feel2,Feel3,Flch_2_1,Flch_3_1,Content_pos1,Content_pos2,Content_pos3,Conch_2_1,Conch_3_1,ConSim_2_1,ConSim_3_1,r1_total_details,r2_orig_perc,r2_elab_perc,r2_newpos_perc,r2_newneg_perc,r3_orig_perc,r3_elab_perc,r3_newpos_perc,r3_newneg_perc,date
512,Positive,10,5.5,5.4,5.5,-0.1,0,2.45,2.8,2.6,0.35,0.15,2.25,2.25,2.75,0.876666667,0.1,0.0325,0.0575,0.78531746,0.15,0.109126984,0.055555556,2.9
518,Positive,9,2.666666667,4.222222222,4.777777778,1.555555556,2.111111111,2.277777778,2.722222222,2.777777778,0.444444444,0.5,2.555555556,2.833333333,4.388888889,0.672844693,0.333333333,0.184212574,0.090001556,0.600553151,0.222222222,0.228803912,0.127208594,4.333333333
521,Control,10,2.2,3.2,2.3,1,0.1,3.2,3.1,3.15,-0.1,-0.05,1.3,1.6,3.6,0.905595238,0.1,0.065833333,0,0.872893218,0.1,0.086035354,0.0125,3.3
522,Positive,10,3,4.2,4.5,1.2,1.5,2.75,2.65,2.75,-0.1,0,2.15,2.2,2.4,0.916666667,0,0.033333333,0.05,0.776785714,0.05,0.126785714,0.083928571,2
523,Control,9,5.666666667,5.888888889,5.888888889,0.222222222,0.222222222,3.333333333,3.333333333,3.444444444,0,0.111111111,2.555555556,2.222222222,4.1875,0.950892857,0.0625,0,0.03125,0.913541667,0,0.045833333,0.040625,3.333333333
524,Positive,10,2.9,3.7,4.1,0.8,1.2,2.7,2.95,3.1,0.25,0.4,2.6,2.9,4.45,0.688333333,0,0.145,0.166666667,0.662619048,0,0.203095238,0.134285714,1.9
526,Positive,8,4.75,6.25,5.375,1.5,0.625,3.1875,3.125,3.25,-0.0625,0.0625,2.5,3.0625,2.375,0.645833333,0,0.0625,0.291666667,0.875,0,0.125,0,3.5
527,Control,8,4.375,5.25,4.625,0.875,0.25,2.625,2.625,2.6875,0,0.0625,1.75,2,2.375,0.929166667,0,0.070833333,0,0.653869048,0,0.208630952,0.1375,5.125
528,Positive,8,4,4.25,4.375,0.25,0.375,3.375,3.375,3.5625,0,0.1875,1.6875,3.25,4.4,0.796507937,0,0.112698413,0.090793651,0.776666667,0,0.223333333,0,3.375
529,Control,10,3,3.9,4.4,0.9,1.4,3.55,3.55,3.55,0,0,1.75,2.05,3.45,0.929166667,0,0.058333333,0.0125,0.868531746,0,0.06468254,0.066785714,1.3
532,Positive,10,3.1,3.9,4.1,0.8,1,2.65,2.7,2.7,0.05,0.05,1.95,2.2,5.6,0.721461039,0,0.210162338,0.068376623,0.692162698,0,0.167003968,0.140833333,4.6
539,Control,9,3.888888889,4,4,0.111111111,0.111111111,3,3,3.055555556,0,0.055555556,2.055555556,2.111111111,6,0.821031746,0.111111111,0.10489418,0.055555556,0.850793651,0.111111111,0.05,0.080687831,3.666666667
541,Control,9,3.666666667,4.555555556,5.222222222,0.888888889,1.555555556,2.722222222,2.722222222,2.722222222,0,0,2.277777778,3.055555556,5.5,0.9375,0,0.03125,0.03125,0.9375,0,0.0625,0,4.111111111
542,Positive,10,3.4,3.7,5.1,0.3,1.7,2.8,2.9,2.95,0.1,0.15,2.8,2.6,5.4,0.875,0,0.091666667,0.033333333,0.682777778,0,0.222222222,0.095,2.7
543,Control,10,3.2,3.7,3.2,0.5,0,2.8,2.8,3,0,0.2,1.8,2.55,6.3,0.925833333,0,0.045,0.029166667,0.888492063,0,0.053174603,0.058333333,3.5
548,Positive,10,6.1,6.4,5.8,0.3,-0.3,2.85,2.9,3.05,0.05,0.2,2.35,2.6,4.444444444,0.594444444,0,0.227777778,0.177777778,0.596296296,0,0.253703704,0.15,4.5
549,Control,10,5,4.4,3.9,-0.6,-1.1,2.95,2.95,2.95,0,0,2.3,2.2,6.5,0.807142857,0,0.082619048,0.110238095,0.751923077,0,0.141410256,0.106666667,3.5
